Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
11/02/2023,Bournemouth,Newcastle,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2023,Leeds,Man United,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2023,Man City,Aston Villa,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/02/2023,Liverpool,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/02/2023,Arsenal,Man City,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2023,Aston Villa,Arsenal,2,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2023,Brentford,Crystal Palace,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2023,Brighton,Fulham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2023,Chelsea,Southampton,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2023,Everton,Leeds,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2023,Nott'm Forest,Man City,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2023,Wolves,Bournemouth,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2023,Newcastle,Liverpool,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/02/2023,Man United,Leicester,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/02/2023,Tottenham,West Ham,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2023,Fulham,Wolves,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2023,Everton,Aston Villa,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2023,Leeds,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2023,Leicester,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2023,West Ham,Nott'm Forest,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2023,Bournemouth,Man City,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2023,Crystal Palace,Liverpool,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/02/2023,Tottenham,Chelsea,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2023,Arsenal,Everton,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2023,Liverpool,Wolves,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023,Man City,Newcastle,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023,Arsenal,Bournemouth,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023,Aston Villa,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023,Brighton,West Ham,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023,Chelsea,Leeds,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023,Wolves,Tottenham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023,Southampton,Leicester,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2023,Nott'm Forest,Everton,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2023,Liverpool,Man United,7,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2023,Brentford,Fulham,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2023,Bournemouth,Liverpool,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2023,Everton,Brentford,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2023,Leeds,Brighton,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2023,Leicester,Chelsea,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2023,Tottenham,Nott'm Forest,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2023,Crystal Palace,Man City,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2023,Fulham,Arsenal,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2023,Man United,Southampton,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2023,West Ham,Aston Villa,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2023,Newcastle,Wolves,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2023,Brighton,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2023,Southampton,Brentford,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2023,Nott'm Forest,Newcastle,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2023,Aston Villa,Bournemouth,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2023,Brentford,Leicester,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2023,Southampton,Tottenham,3,3,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2023,Wolves,Leeds,2,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2023,Chelsea,Everton,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2023,Arsenal,Crystal Palace,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2023,Man City,Liverpool,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2023,Arsenal,Leeds,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2023,Bournemouth,Fulham,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2023,Brighton,Brentford,3,3,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2023,Crystal Palace,Leicester,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2023,Nott'm Forest,Wolves,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2023,Chelsea,Aston Villa,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2023,West Ham,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2023,Newcastle,Man United,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2023,Everton,Tottenham,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2023,Bournemouth,Brighton,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2023,Leeds,Nott'm Forest,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2023,Leicester,Aston Villa,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2023,Chelsea,Liverpool,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2023,Man United,Brentford,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2023,West Ham,Newcastle,1,5,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2023,Man United,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2023,Aston Villa,Nott'm Forest,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2023,Brentford,Newcastle,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2023,Fulham,West Ham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2023,Leicester,Bournemouth,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2023,Tottenham,Brighton,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2023,Wolves,Chelsea,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2023,Southampton,Man City,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2023,Leeds,Crystal Palace,1,5,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2023,Liverpool,Arsenal,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2023,Aston Villa,Newcastle,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2023,Chelsea,Brighton,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2023,Everton,Fulham,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2023,Southampton,Crystal Palace,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2023,Tottenham,Bournemouth,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2023,Wolves,Brentford,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/2023,Man City,Leicester,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2023,West Ham,Arsenal,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/04/2023,Nott'm Forest,Man United,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2023,Leeds,Liverpool,1,6,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2023,Arsenal,Southampton,3,3,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2023,Fulham,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2023,Brentford,Aston Villa,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2023,Crystal Palace,Everton,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2023,Leicester,Wolves,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2023,Liverpool,Nott'm Forest,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/04/2023,Bournemouth,West Ham,0,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/04/2023,Newcastle,Tottenham,6,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2023,Wolves,Crystal Palace,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2023,Aston Villa,Fulham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2023,Leeds,Leicester,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2023,Nott'm Forest,Brighton,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2023,Chelsea,Brentford,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2023,West Ham,Liverpool,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2023,Man City,Arsenal,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2023,Everton,Newcastle,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2023,Southampton,Bournemouth,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2023,Tottenham,Man United,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2023,Crystal Palace,West Ham,4,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2023,Brentford,Nott'm Forest,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2023,Brighton,Wolves,6,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2023,Bournemouth,Leeds,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2023,Fulham,Man City,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2023,Man United,Aston Villa,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2023,Newcastle,Southampton,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2023,Liverpool,Tottenham,4,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2023,Leicester,Everton,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/05/2023,Arsenal,Chelsea,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2023,Liverpool,Fulham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2023,Man City,West Ham,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2023,Brighton,Man United,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/05/2023,Bournemouth,Chelsea,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/05/2023,Man City,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/05/2023,Tottenham,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/05/2023,Wolves,Aston Villa,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/05/2023,Liverpool,Brentford,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/05/2023,Newcastle,Arsenal,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/05/2023,West Ham,Man United,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2023,Fulham,Leicester,5,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2023,Brighton,Everton,1,5,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2023,Nott'm Forest,Southampton,4,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2023,Leeds,Newcastle,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2023,Aston Villa,Tottenham,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2023,Chelsea,Nott'm Forest,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2023,Crystal Palace,Bournemouth,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2023,Man United,Wolves,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2023,Southampton,Fulham,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2023,Brentford,West Ham,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2023,Everton,Man City,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2023,Arsenal,Brighton,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/05/2023,Leicester,Liverpool,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/05/2023,Newcastle,Brighton,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2023,Tottenham,Brentford,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2023,Bournemouth,Man United,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2023,Fulham,Crystal Palace,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2023,Liverpool,Aston Villa,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2023,Wolves,Everton,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2023,Nott'm Forest,Arsenal,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2023,West Ham,Leeds,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2023,Brighton,Southampton,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2023,Man City,Chelsea,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2023,Newcastle,Leicester,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2023,Brighton,Man City,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2023,Man United,Chelsea,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Arsenal,Wolves,5,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Aston Villa,Brighton,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Brentford,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Chelsea,Newcastle,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Crystal Palace,Nott'm Forest,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Everton,Bournemouth,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Leeds,Tottenham,1,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Leicester,West Ham,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Man United,Fulham,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2023,Southampton,Liverpool,4,4,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
